Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Angiogenesis (GO:0045765),24/205,1.8735627007319324e-11,4.653929748618121e-08,0,0,6.300617484562886,155.62899580321968,SEMA5A;RAMP2;SEMA6A;ANXA3;NPR1;GATA6;EMP2;GATA2;KLF4;DCN;AQP1;CLDN5;CDH5;IL6;RGCC;RRAS;HYAL1;ADAMTS1;ALOX5;COL4A3;TEK;CD34;HOXA5;SASH1
KEGG_2021_Human,Complement and coagulation cascades,15/85,3.692248023181844e-10,9.525999899809157e-08,0,0,10.019527235354571,217.6202784125787,C1QB;CFD;CPB2;VWF;PROS1;C5AR1;C4BPA;CLU;THBD;F8;C7;SERPING1;VSIG4;A2M;CD55
GO_Biological_Process_2023,Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179),12/72,4.2183873645626914e-08,5.239237106786862e-05,0,0,9.289523809523809,157.74752024208493,TGFBR3;GDF10;CDH5;CLDN5;HPGD;ID1;FOS;LRRC32;SMAD6;FERMT2;TGFBR2;ENG
GO_Biological_Process_2023,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),47/938,7.548328212129368e-08,6.250015759643116e-05,0,0,2.558977946856735,41.96558685126142,PID1;EPAS1;PLA2G1B;GATA6;TCF21;ADIRF;ARRB1;PIK3R1;LDB2;GATA2;ETS2;HEY1;PLAGL1;HYAL2;HOXA5;WWTR1;EGR1;IL33;EDN1;FOXF2;FOXF1;LMO2;LMO7;ETV1;FOS;KLF4;MEIS2;KLF2;TBX3;DCN;NR4A2;KAT2B;NR4A1;ZEB2;KLF6;BMP2;IL6;MEIS1;RGCC;NR4A3;TAL1;MAFF;TCF4;ERG;ATF3;FGFR2;ENG
GO_Biological_Process_2023,Regulation Of Nitric Oxide Biosynthetic Process (GO:0045428),9/39,1.123588828047464e-07,6.977486622174752e-05,0,0,13.856737588652482,221.72952570342667,CX3CR1;EDN1;CAV1;HBB;CD36;AGTR2;KLF4;CLU;KLF2
GO_Biological_Process_2023,Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560),13/96,1.477643468859955e-07,7.340932753296255e-05,0,0,7.283693245535843,114.55535682611642,GDF10;HPGD;FOS;LRRC32;SMAD6;TGFBR2;TGFBR3;CDH5;CLDN5;HYAL2;ID1;FERMT2;ENG
GO_Biological_Process_2023,Positive Regulation Of Angiogenesis (GO:0045766),14/119,2.931271531442821e-07,9.10159810512996e-05,0,0,6.20829346092504,93.38924369175288,SEMA5A;RAMP2;ANXA3;GATA6;EMP2;GATA2;KLF4;AQP1;CDH5;RRAS;HYAL1;TEK;CD34;SASH1
GO_Biological_Process_2023,Negative Regulation Of Cellular Process (GO:0048523),32/537,2.519846482491185e-07,9.10159810512996e-05,0,0,3.019881188118812,45.883765750664935,KANK2;SEMA5A;HPGD;NPR1;FHL1;WFDC1;FBLN1;ADARB1;CLU;ADAMTS1;HYAL1;PODXL;ALOX5;RPS6KA2;HYAL2;SLIT2;ADAMTS8;JAM2;ANGPT1;DUSP1;WFS1;SMAD6;KAT2B;NR4A1;BMP2;IL6;RGCC;COL4A3;MMRN2;AGTR2;CRYAB;FBP1
GO_Biological_Process_2023,Regulation Of Endothelial Cell Apoptotic Process (GO:2000351),9/43,2.769742519512866e-07,9.10159810512996e-05,0,0,12.224030037546934,184.5748014556445,SEMA5A;CDH5;RAMP2;RGCC;ANGPT1;NDNF;TEK;GATA2;GAS6
GO_Biological_Process_2023,Positive Regulation Of Vasculature Development (GO:1904018),13/104,3.830269474490311e-07,9.236477305201417e-05,0,0,6.6406409819297645,98.11653627355513,SEMA5A;RAMP2;ANXA3;GATA6;EMP2;GATA2;AQP1;CDH5;RRAS;HYAL1;TEK;CD34;SASH1
GO_Biological_Process_2023,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),25/364,4.090227470097246e-07,9.236477305201417e-05,0,0,3.4841961833112274,51.25076656840098,RAMP2;PID1;RAMP3;GATA2;CLU;CDH5;LAMP3;CD36;CD34;HOXA5;EGR1;IL33;NTRK2;ANGPT1;WFS1;KLF4;KLF2;CLDN5;BMP2;IL6;TYROBP;RGCC;AGTR1;GAS6;FGFR4
GO_Biological_Process_2023,Receptor-Mediated Endocytosis (GO:0006898),14/122,3.9970219305196973e-07,9.236477305201417e-05,0,0,6.034910508594719,88.90959718370021,MSR1;RAMP2;CALCRL;RAMP3;CAV2;CAV1;SFTPD;ADRB2;MARCO;SNX1;MRC1;CD36;LDLR;FOLR1
GO_Biological_Process_2023,Positive Regulation Of DNA-templated Transcription (GO:0045893),54/1243,7.602611764255519e-07,0.00015737406352008923,0,0,2.20821819055629,31.112919429890635,CDKN1C;PID1;TCF21;ADIRF;ARRB1;LDB2;ETS2;HEY1;MECOM;HYAL2;CAPN3;HOXA5;EDN1;LMO2;LMO7;ETV1;FOS;DCN;KAT2B;ZEB2;TAL1;ERG;ATF3;ENG;MYRF;EPAS1;PLA2G1B;GATA6;PIK3R1;GATA2;PLAGL1;ZNF423;WWTR1;EGR1;IL33;FOXF2;FOXF1;ZBTB16;KLF4;MEIS2;FLI1;KLF2;TBX3;NR4A2;NR4A1;KLF6;BMP2;IL6;MEIS1;RGCC;NR4A3;MAFF;TCF4;FGFR2
GO_Biological_Process_2023,Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0007178),14/130,8.736357951299251e-07,0.0001642886612494961,0,0,5.616399934004289,78.35216160405179,GDF10;HPGD;FOS;SMAD6;LRRC32;TGFBR2;TMEM100;TGFBR3;CDH5;CLDN5;BMP2;ID1;FERMT2;ENG
GO_Biological_Process_2023,Extracellular Matrix Assembly (GO:0085029),6/17,9.92081287738503e-07,0.0001642886612494961,0,0,25.040973111395648,346.1529099421593,MFAP4;RAMP2;MYH11;GAS6;FBLN5;GPM6B
GO_Biological_Process_2023,Negative Regulation Of Endothelial Cell Apoptotic Process (GO:2000352),7/26,9.636275049431695e-07,0.0001642886612494961,0,0,16.946501547987616,234.7524468142765,SEMA5A;CDH5;RAMP2;NDNF;TEK;GATA2;GAS6
GO_Biological_Process_2023,Positive Regulation Of Multicellular Organismal Process (GO:0051240),25/387,1.2618950891449113e-06,0.00017620213340265704,0,0,3.258921905330745,44.26559707736152,PTGER4;EPAS1;NPR1;PTN;ADRB2;GHR;ACADL;ZBED2;CD36;WWTR1;IL33;CADM1;ZBTB16;CAV1;TRPV2;TGFBR2;FGR;BMP2;IL6;FABP4;RGCC;FABP5;MMRN2;GAS6;FERMT2
GO_Biological_Process_2023,Positive Regulation Of Nitric Oxide Biosynthetic Process (GO:0045429),7/27,1.2768270536424425e-06,0.00017620213340265704,0,0,16.098352941176472,218.47287953831363,EDN1;HBB;CD36;AGTR2;KLF4;CLU;KLF2
GO_Biological_Process_2023,Negative Regulation Of Epithelial Cell Apoptotic Process (GO:1904036),8/38,1.230259964942965e-06,0.00017620213340265704,0,0,12.288050314465409,167.21929147768785,SEMA5A;CDH5;RAMP2;WFS1;NDNF;TEK;GATA2;GAS6
GO_Biological_Process_2023,Sprouting Angiogenesis (GO:0002040),9/52,1.5215457332792553e-06,0.0001976489034348186,0,0,9.661058881741711,129.41745615587797,SEMA5A;EFNB2;NR4A1;RAMP2;ANGPT1;SLIT2;TEK;RECK;ENG
GO_Biological_Process_2023,Positive Regulation Of Nitric Oxide Metabolic Process (GO:1904407),7/28,1.6709448358016064e-06,0.0001976489034348186,0,0,15.330980392156862,203.93456115526536,EDN1;HBB;CD36;AGTR2;KLF4;CLU;KLF2
GO_Biological_Process_2023,Regulation Of ERK1 And ERK2 Cascade (GO:0070372),19/244,1.626883987325864e-06,0.0001976489034348186,0,0,3.954985203120797,52.71538094074303,NTRK2;RAMP3;SEMA6A;ANGPT1;C5AR1;FBLN1;ARRB1;AGER;TGFBR3;MARCO;BMP2;RRAS;TIMP3;CD36;TEK;GAS6;FGFR4;FERMT2;FGFR2
GO_Biological_Process_2023,Hemopoiesis (GO:0030097),12/101,1.8613956743487735e-06,0.00021016849341283427,0,0,6.253290529695024,82.5070657858882,TGFBR3;MEIS1;SNRK;RRAS;MECOM;TAL1;ZBTB16;TEK;IL7R;CD34;FGFR2;TGFBR2
GO_Biological_Process_2023,Maintenance Of Blood-Brain Barrier (GO:0035633),7/29,2.1618767344490347e-06,0.0002247393067198602,0,0,14.63336898395722,190.88547712344035,CDH5;CLDN5;IL6;SLC1A1;PECAM1;DMD;JAM2
GO_Biological_Process_2023,Phagocytosis (GO:0006909),10/69,2.171394267824736e-06,0.0002247393067198602,0,0,7.835569122017833,102.17692676973232,SRPX;MSR1;MARCO;TYROBP;CD93;ANXA3;PECAM1;CD36;GAS6;LDLR
GO_Biological_Process_2023,Negative Regulation Of Angiogenesis (GO:0016525),11/86,2.4007285873487584e-06,0.0002284635604788788,0,0,6.790910530482977,87.87260500587577,CLDN5;SEMA6A;RGCC;NPR1;ALOX5;COL4A3;TEK;KLF4;HOXA5;DCN;KLF2
GO_Biological_Process_2023,Cellular Response To Fibroblast Growth Factor Stimulus (GO:0044344),9/55,2.483299570422596e-06,0.0002284635604788788,0,0,9.029602220166511,116.53534564786368,KL;NR4A1;ZFP36;HYAL1;FLRT3;HYAL2;NDNF;FGFR4;FGFR2
GO_Biological_Process_2023,Positive Regulation Of Cell Population Proliferation (GO:0008284),28/483,2.4568065000616367e-06,0.0002284635604788788,0,0,2.911348057882712,37.60485871570738,VIPR1;PID1;PLA2G1B;C5AR1;PTN;AQP1;EFNB2;GRK5;HYAL1;NTRK2;WWTR1;EDN1;EMP2;MEIS2;TBX3;TBX2;TGFBR2;TGFBR3;CLDN5;BMP2;IL6;MEIS1;NR4A3;GAS6;FGFR4;IL7R;FGFR2;HBEGF
