Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094),9/26,9.25414769334751e-12,4.833749811825183e-09,0,0,46.46823529411765,1180.5696283454463,CDC20;CENPF;BUB1B;TTK;TRIP13;BUB1;NDC80;ZWINT;MAD2L1
GO_Biological_Process_2023,Mitotic Spindle Checkpoint Signaling (GO:0071174),9/26,9.25414769334751e-12,4.833749811825183e-09,0,0,46.46823529411765,1180.5696283454463,CDC20;CENPF;BUB1B;TTK;TRIP13;BUB1;NDC80;ZWINT;MAD2L1
GO_Biological_Process_2023,Spindle Assembly Checkpoint Signaling (GO:0071173),9/26,9.25414769334751e-12,4.833749811825183e-09,0,0,46.46823529411765,1180.5696283454463,CDC20;CENPF;BUB1B;TTK;TRIP13;BUB1;NDC80;ZWINT;MAD2L1
GO_Biological_Process_2023,Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841),9/28,2.0044997868079264e-11,7.852627914820052e-09,0,0,41.572631578947366,1024.060357958611,CDC20;CENPF;BUB1B;TTK;TRIP13;BUB1;NDC80;ZWINT;MAD2L1
GO_Biological_Process_2023,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),11/59,7.591111128411891e-11,2.3790542276442865e-08,0,0,20.263266068759343,472.1636442270189,CCNB1;KIF2A;KIF4A;NUSAP1;CDK1;RCC1;BIRC5;TTK;KIF11;DLGAP5;NDC80
GO_Biological_Process_2023,Mitotic Spindle Organization (GO:0007052),12/85,3.0736407096249004e-10,8.027324986637032e-08,0,0,14.582006664198444,319.3895194908882,TPX2;CCNB1;KIF2A;PRC1;KIF4A;RCC1;BIRC5;TTK;KIF11;DLGAP5;NDC80;AURKA
GO_Biological_Process_2023,Extracellular Structure Organization (GO:0043062),13/109,4.779392504250274e-10,1.0507417217134833e-07,0,0,12.052696078431373,258.6693886545435,POSTN;MMP7;MMP1;COL11A1;MMP9;COL1A1;MMP12;MMP11;COL3A1;COL1A2;COL5A1;COL5A2;COL10A1
GO_Biological_Process_2023,External Encapsulating Structure Organization (GO:0045229),13/110,5.36434829209181e-10,1.0507417217134833e-07,0,0,11.927835051546392,254.6124739458403,POSTN;MMP7;MMP1;COL11A1;MMP9;COL1A1;MMP12;MMP11;COL3A1;COL1A2;COL5A1;COL5A2;COL10A1
GO_Biological_Process_2023,Extracellular Matrix Organization (GO:0030198),14/176,2.109257077448772e-08,3.672450933735806e-06,0,0,7.700785634118968,136.10634171777312,POSTN;MMP7;MMP1;COL11A1;MMP9;COL1A1;GREM1;MMP12;MMP11;COL3A1;COL1A2;COL5A1;COL5A2;COL10A1
KEGG_2021_Human,p53 signaling pathway,9/73,1.784312487144016e-07,2.0613149744404828e-05,0,0,12.31375,191.34413050454475,CCNB2;CCNB1;RRM2;CDKN2A;IGFBP3;PERP;CDK1;PMAIP1;SFN
KEGG_2021_Human,Cell cycle,11/124,2.355788542217695e-07,2.0613149744404828e-05,0,0,8.579030913925155,130.9264793830851,CDC20;CCNB2;CCNB1;CDKN2A;CDK1;BUB1B;MCM4;SFN;TTK;BUB1;MAD2L1
GO_Biological_Process_2023,Collagen Fibril Organization (GO:0030199),7/42,5.223085163632436e-07,8.184574451412026e-05,0,0,17.384140969162996,251.4617276944128,COL1A1;GREM1;COL3A1;COL1A2;COL5A1;COL11A1;COL5A2
GO_Biological_Process_2023,Mitotic Sister Chromatid Segregation (GO:0000070),10/111,7.280419904227344e-07,0.00010371289081749318,0,0,8.692096888260254,122.84459792386292,TPX2;CCNB1;KIF2A;PRC1;NUSAP1;KIF11;NDC80;ZWINT;CEP55;DLGAP5
GO_Biological_Process_2023,Mitotic Cell Cycle Phase Transition (GO:0044772),9/111,6.32118279067766e-06,0.0008254411194159912,0,0,7.711372549019607,92.31750012587052,CCNB2;CCNB1;MELK;UBE2C;UBE2S;CDK1;RCC1;AURKA;CDKN3
