probe,log2FC,pvalue,padj
209074_s_at,-3.371798570657635,6.641899270453032e-44,1.4800144144350492e-39
204396_s_at,-2.388071786272697,2.0091240230500282e-41,2.238465530281189e-37
204677_at,-2.6195733631481337,1.317135715132552e-40,9.78324504676622e-37
208982_at,-1.8139137417705857,3.3573249884317965e-39,1.870281817930643e-35
213103_at,-1.219819767119283,5.221336663607791e-39,2.326940897503448e-35
208981_at,-1.6889024966713624,7.219182424916712e-39,2.681084032906985e-35
210081_at,-4.417469530992963,4.769095360383472e-38,1.5181393130774987e-34
219719_at,-1.3639731366108379,1.714931822319002e-37,3.9720157870040105e-34
209875_s_at,4.364415124273047,1.7825318794614777e-37,3.9720157870040105e-34
202112_at,-2.2584735086171666,1.464679368226465e-37,3.9720157870040105e-34
203980_at,-3.838541312839549,2.2545751787017213e-37,4.5671544279100406e-34
204719_at,-2.9599096880675573,2.9250718273110082e-37,5.271066109093503e-34
205200_at,-3.411853498058411,3.251662255152302e-37,5.271066109093503e-34
209555_s_at,-2.416983732648136,3.3117141106363166e-37,5.271066109093503e-34
219597_s_at,-2.176523477041168,4.030997395495631e-37,5.98818099758861e-34
32625_at,-1.1821510035161857,4.7604188815376995e-37,6.629775871081535e-34
204931_at,-2.5300979095573553,5.754045240117105e-37,7.54219941679585e-34
206481_s_at,-2.2117825543406067,1.9934306480352486e-36,2.4677563961205246e-33
219213_at,-1.559132430157633,4.984260243148851e-36,5.8454879472676766e-33
201540_at,-2.5550411671062623,5.7629097077945316e-36,6.420745850939278e-33
204273_at,-3.161260277644266,7.653145527899266e-36,7.890178227637824e-33
204482_at,-1.8882777294458126,7.789970875018271e-36,7.890178227637824e-33
215454_x_at,-3.989821568715339,1.6597017716637177e-35,1.607962372955766e-32
200878_at,-2.087425408263549,1.8592689987377468e-35,1.726253795786384e-32
219064_at,-1.1389693224757211,2.3354768618396995e-35,2.081657236494961e-32
206488_s_at,-2.567115354173822,2.8572742721746874e-35,2.4487939464180214e-32
213451_x_at,-1.6941137495809286,1.1656170758562385e-34,9.480246724489066e-32
206068_s_at,-1.7377278017568605,1.1912530103024452e-34,9.480246724489066e-32
204731_at,-2.4222016803198443,1.8361110820505832e-34,1.4108297669425222e-31
